Type,Seconds,MegaBytes
broadcast,1468427690,0.17221832275390625
broadcast,1468427691,0.17221832275390625
broadcast,1468427692,0.17221832275390625
broadcast,1468427693,0.17221832275390625
broadcast,1468427694,0.17221832275390625
broadcast,1468427695,0.17221832275390625
broadcast,1468427696,0.17221832275390625
broadcast,1468427697,0.17221832275390625
broadcast,1468427698,0.17221832275390625
aae_send,1468427699,7.0953369140625e-4
broadcast,1468427699,0.17221832275390625
aae_send,1468427700,0.450103759765625
broadcast,1468427700,0.17221832275390625
aae_send,1468427701,0.450103759765625
broadcast,1468427701,0.17221832275390625
aae_send,1468427702,0.450103759765625
broadcast,1468427702,0.17221832275390625
aae_send,1468427703,0.450103759765625
broadcast,1468427703,0.17221832275390625
aae_send,1468427704,0.450103759765625
broadcast,1468427704,0.17221832275390625
aae_send,1468427705,0.450103759765625
broadcast,1468427705,0.17221832275390625
aae_send,1468427706,0.450103759765625
broadcast,1468427706,0.17221832275390625
aae_send,1468427707,0.450103759765625
broadcast,1468427707,0.17221832275390625
aae_send,1468427708,0.450103759765625
broadcast,1468427708,0.17221832275390625
aae_send,1468427709,0.9023818969726563
broadcast,1468427709,0.17221832275390625
aae_send,1468427710,0.9023818969726563
broadcast,1468427710,0.17221832275390625
aae_send,1468427711,0.9023818969726563
broadcast,1468427711,0.17221832275390625
aae_send,1468427712,0.9023818969726563
broadcast,1468427712,0.17221832275390625
aae_send,1468427713,0.9023818969726563
broadcast,1468427713,0.17221832275390625
aae_send,1468427714,0.9023818969726563
broadcast,1468427714,0.17221832275390625
aae_send,1468427715,0.9023818969726563
broadcast,1468427715,0.17221832275390625
aae_send,1468427716,0.9023818969726563
broadcast,1468427716,0.17221832275390625
aae_send,1468427717,0.9023818969726563
broadcast,1468427717,0.17221832275390625
aae_send,1468427718,0.9023818969726563
broadcast,1468427718,0.17221832275390625
aae_send,1468427719,1.3562545776367188
broadcast,1468427719,0.17221832275390625
aae_send,1468427720,1.3562545776367188
broadcast,1468427720,0.17221832275390625
aae_send,1468427721,1.3562545776367188
broadcast,1468427721,0.17221832275390625
aae_send,1468427722,1.3562545776367188
broadcast,1468427722,0.17221832275390625
aae_send,1468427723,1.3562545776367188
broadcast,1468427723,0.17221832275390625
aae_send,1468427724,1.3562545776367188
broadcast,1468427724,0.17221832275390625
aae_send,1468427725,1.3562545776367188
broadcast,1468427725,0.17221832275390625
aae_send,1468427726,1.3562545776367188
broadcast,1468427726,0.17221832275390625
aae_send,1468427727,1.3562545776367188
broadcast,1468427727,0.17221832275390625
aae_send,1468427728,1.3562545776367188
broadcast,1468427728,0.17221832275390625
aae_send,1468427729,1.8105621337890625
broadcast,1468427729,0.17221832275390625
aae_send,1468427730,1.8105621337890625
broadcast,1468427730,0.17221832275390625
aae_send,1468427731,1.8105621337890625
broadcast,1468427731,0.17221832275390625
aae_send,1468427732,1.8105621337890625
broadcast,1468427732,0.17221832275390625
aae_send,1468427733,1.8105621337890625
broadcast,1468427733,0.17221832275390625
aae_send,1468427734,1.8105621337890625
broadcast,1468427734,0.17221832275390625
aae_send,1468427735,1.8105621337890625
broadcast,1468427735,0.17221832275390625
aae_send,1468427736,1.8105621337890625
broadcast,1468427736,0.17221832275390625
aae_send,1468427737,1.8105621337890625
broadcast,1468427737,0.17221832275390625
aae_send,1468427738,1.8105621337890625
broadcast,1468427738,0.17221832275390625
convergence,1468427739,0.0
aae_send,1468427739,2.2651443481445313
broadcast,1468427739,0.17221832275390625
