Type,Seconds,MegaBytes
delta_send,1467739474,1.09808349609375
delta_ack,1467739475,2.13623046875e-4
delta_send,1467739475,1.09808349609375
delta_ack,1467739476,4.8828125e-4
delta_send,1467739476,1.09808349609375
delta_ack,1467739477,4.8828125e-4
delta_send,1467739477,1.09808349609375
delta_ack,1467739478,4.8828125e-4
delta_send,1467739478,1.09808349609375
delta_ack,1467739479,4.8828125e-4
delta_send,1467739479,1.09808349609375
delta_ack,1467739480,4.8828125e-4
delta_send,1467739480,1.09808349609375
delta_ack,1467739481,4.8828125e-4
delta_send,1467739481,1.09808349609375
delta_ack,1467739482,4.8828125e-4
delta_send,1467739482,1.09808349609375
delta_ack,1467739483,4.8828125e-4
delta_send,1467739483,1.09808349609375
delta_ack,1467739484,4.8828125e-4
delta_send,1467739484,1.1011810302734375
delta_ack,1467739485,0.001708984375
delta_send,1467739485,1.1011810302734375
delta_ack,1467739486,0.002410888671875
delta_send,1467739486,1.1011810302734375
delta_ack,1467739487,0.002410888671875
delta_send,1467739487,1.1011810302734375
delta_ack,1467739488,0.002410888671875
delta_send,1467739488,1.1011810302734375
delta_ack,1467739489,0.002410888671875
delta_send,1467739489,1.1011810302734375
delta_ack,1467739490,0.002410888671875
delta_send,1467739490,1.1011810302734375
delta_ack,1467739491,0.002410888671875
delta_send,1467739491,1.1011810302734375
delta_ack,1467739492,0.002410888671875
delta_send,1467739492,1.1011810302734375
delta_ack,1467739493,0.002410888671875
delta_send,1467739493,1.1011810302734375
delta_ack,1467739494,0.002410888671875
delta_send,1467739494,1.1108016967773438
delta_ack,1467739495,0.003814697265625
delta_send,1467739495,1.1108016967773438
delta_ack,1467739496,0.00445556640625
delta_send,1467739496,1.1108016967773438
delta_ack,1467739497,0.00445556640625
delta_send,1467739497,1.1108016967773438
delta_ack,1467739498,0.00445556640625
delta_send,1467739498,1.1108016967773438
delta_ack,1467739499,0.00445556640625
delta_send,1467739499,1.1108016967773438
delta_ack,1467739500,0.00445556640625
delta_send,1467739500,1.1108016967773438
delta_ack,1467739501,0.00445556640625
delta_send,1467739501,1.1108016967773438
delta_ack,1467739502,0.00445556640625
delta_send,1467739502,1.1108016967773438
delta_ack,1467739503,0.00445556640625
delta_send,1467739503,1.1108016967773438
delta_ack,1467739504,0.00445556640625
delta_send,1467739504,1.1188735961914063
delta_ack,1467739505,0.00518798828125
delta_send,1467739505,1.1188735961914063
convergence,1467739505,0.0
