Type,Seconds,MegaBytes
delta_ack,1467813034,9.46044921875e-4
delta_send,1467813034,0.3728790283203125
delta_ack,1467813035,0.0015869140625
delta_send,1467813035,0.3728790283203125
delta_ack,1467813036,0.0015869140625
delta_send,1467813036,0.3728790283203125
delta_ack,1467813037,0.0015869140625
delta_send,1467813037,0.3728790283203125
delta_ack,1467813038,0.0015869140625
delta_send,1467813038,0.3728790283203125
delta_ack,1467813039,0.0015869140625
delta_send,1467813039,0.3728790283203125
delta_ack,1467813040,0.0015869140625
delta_send,1467813040,0.3728790283203125
delta_ack,1467813041,0.0015869140625
delta_send,1467813041,0.3728790283203125
delta_ack,1467813042,0.0015869140625
delta_send,1467813042,0.3728790283203125
delta_ack,1467813043,0.0015869140625
delta_send,1467813043,0.3728790283203125
delta_ack,1467813044,0.00238037109375
delta_send,1467813044,0.3826904296875
delta_ack,1467813045,0.003143310546875
delta_send,1467813045,0.3826904296875
delta_ack,1467813046,0.003143310546875
delta_send,1467813046,0.3826904296875
delta_ack,1467813047,0.003143310546875
delta_send,1467813047,0.3826904296875
delta_ack,1467813048,0.003143310546875
delta_send,1467813048,0.3826904296875
delta_ack,1467813049,0.003143310546875
delta_send,1467813049,0.3826904296875
delta_ack,1467813050,0.003143310546875
delta_send,1467813050,0.3826904296875
delta_ack,1467813051,0.003143310546875
delta_send,1467813051,0.3826904296875
delta_ack,1467813052,0.003143310546875
delta_send,1467813052,0.3826904296875
delta_ack,1467813053,0.003143310546875
delta_send,1467813053,0.3826904296875
delta_ack,1467813054,0.004486083984375
delta_send,1467813054,0.39068603515625
convergence,1467813055,0.0
delta_ack,1467813055,0.00494384765625
delta_send,1467813055,0.39068603515625
delta_ack,1467813056,0.00494384765625
delta_send,1467813056,0.39068603515625
delta_ack,1467813057,0.00494384765625
delta_send,1467813057,0.39068603515625
delta_ack,1467813058,0.00494384765625
delta_send,1467813058,0.39068603515625
delta_ack,1467813059,0.00494384765625
delta_send,1467813059,0.39068603515625
delta_ack,1467813060,0.00494384765625
delta_send,1467813060,0.39068603515625
delta_ack,1467813061,0.00494384765625
delta_send,1467813061,0.39068603515625
delta_ack,1467813062,0.00494384765625
delta_send,1467813062,0.39068603515625
delta_ack,1467813063,0.00494384765625
delta_send,1467813063,0.39068603515625
delta_ack,1467813064,0.0057373046875
delta_send,1467813064,0.3952178955078125
delta_ack,1467813065,0.005889892578125
delta_send,1467813065,0.3952178955078125
delta_ack,1467813066,0.005889892578125
delta_send,1467813066,0.3952178955078125
delta_ack,1467813067,0.005889892578125
delta_send,1467813067,0.3952178955078125
delta_ack,1467813068,0.005889892578125
delta_send,1467813068,0.3952178955078125
