Type,Seconds,MegaBytes
delta_ack,1467813034,3.662109375e-4
delta_send,1467813034,0.37213134765625
delta_ack,1467813035,0.0015869140625
delta_send,1467813035,0.37213134765625
delta_ack,1467813036,0.0015869140625
delta_send,1467813036,0.37213134765625
delta_ack,1467813037,0.0015869140625
delta_send,1467813037,0.37213134765625
delta_ack,1467813038,0.0015869140625
delta_send,1467813038,0.37213134765625
delta_ack,1467813039,0.0015869140625
delta_send,1467813039,0.37213134765625
delta_ack,1467813040,0.0015869140625
delta_send,1467813040,0.37213134765625
delta_ack,1467813041,0.0015869140625
delta_send,1467813041,0.37213134765625
delta_ack,1467813042,0.0015869140625
delta_send,1467813042,0.37213134765625
delta_ack,1467813043,0.0015869140625
delta_send,1467813043,0.37213134765625
delta_ack,1467813044,0.001861572265625
delta_send,1467813044,0.37981414794921875
delta_ack,1467813045,0.003082275390625
delta_send,1467813045,0.37981414794921875
delta_ack,1467813046,0.003082275390625
delta_send,1467813046,0.37981414794921875
delta_ack,1467813047,0.003082275390625
delta_send,1467813047,0.37981414794921875
delta_ack,1467813048,0.003082275390625
delta_send,1467813048,0.37981414794921875
delta_ack,1467813049,0.003082275390625
delta_send,1467813049,0.37981414794921875
delta_ack,1467813050,0.003082275390625
delta_send,1467813050,0.37981414794921875
delta_ack,1467813051,0.003082275390625
delta_send,1467813051,0.37981414794921875
delta_ack,1467813052,0.003082275390625
delta_send,1467813052,0.37981414794921875
delta_ack,1467813053,0.003082275390625
delta_send,1467813053,0.37981414794921875
delta_ack,1467813054,0.0037841796875
delta_send,1467813054,0.38906097412109375
delta_ack,1467813055,0.00482177734375
delta_send,1467813055,0.38906097412109375
convergence,1467813055,0.0
delta_ack,1467813056,0.00482177734375
delta_send,1467813056,0.38906097412109375
delta_ack,1467813057,0.00482177734375
delta_send,1467813057,0.38906097412109375
delta_ack,1467813058,0.00482177734375
delta_send,1467813058,0.38906097412109375
delta_ack,1467813059,0.00482177734375
delta_send,1467813059,0.38906097412109375
delta_ack,1467813060,0.00482177734375
delta_send,1467813060,0.38906097412109375
delta_ack,1467813061,0.00482177734375
delta_send,1467813061,0.38906097412109375
delta_ack,1467813062,0.00482177734375
delta_send,1467813062,0.38906097412109375
delta_ack,1467813063,0.00482177734375
delta_send,1467813063,0.38906097412109375
delta_ack,1467813064,0.005340576171875
delta_send,1467813064,0.39542388916015625
delta_ack,1467813065,0.005828857421875
delta_send,1467813065,0.39542388916015625
delta_ack,1467813066,0.005828857421875
delta_send,1467813066,0.39542388916015625
