Type,Seconds,MegaBytes
broadcast,1469439576,0.02288818359375
broadcast,1469439577,0.0245208740234375
broadcast,1469439578,0.0245208740234375
broadcast,1469439579,0.0267333984375
broadcast,1469439580,0.0289459228515625
broadcast,1469439581,0.0289459228515625
broadcast,1469439582,0.031158447265625
broadcast,1469439583,0.0333709716796875
broadcast,1469439584,0.0358734130859375
aae_send,1469439585,0.02555084228515625
broadcast,1469439585,0.0358734130859375
aae_send,1469439586,0.02555084228515625
broadcast,1469439586,0.0380859375
aae_send,1469439587,0.02555084228515625
broadcast,1469439587,0.0402984619140625
aae_send,1469439588,0.02555084228515625
broadcast,1469439588,0.0402984619140625
aae_send,1469439589,0.02555084228515625
broadcast,1469439589,0.042510986328125
aae_send,1469439590,0.02555084228515625
broadcast,1469439590,0.0447235107421875
aae_send,1469439591,0.02555084228515625
broadcast,1469439591,0.0447235107421875
aae_send,1469439592,0.02555084228515625
broadcast,1469439592,0.0447235107421875
convergence,1469439592,0.0
aae_send,1469439593,0.02555084228515625
broadcast,1469439593,0.0465240478515625
aae_send,1469439594,0.02555084228515625
broadcast,1469439594,0.0465240478515625
aae_send,1469439595,0.05261993408203125
broadcast,1469439595,0.0465240478515625
aae_send,1469439596,0.05261993408203125
broadcast,1469439596,0.0465240478515625
aae_send,1469439597,0.05261993408203125
broadcast,1469439597,0.0465240478515625
aae_send,1469439598,0.05261993408203125
broadcast,1469439598,0.0465240478515625
aae_send,1469439599,0.05261993408203125
broadcast,1469439599,0.0465240478515625
aae_send,1469439600,0.05261993408203125
broadcast,1469439600,0.0465240478515625
aae_send,1469439601,0.05261993408203125
broadcast,1469439601,0.0465240478515625
aae_send,1469439602,0.05261993408203125
broadcast,1469439602,0.0465240478515625
aae_send,1469439603,0.05261993408203125
broadcast,1469439603,0.0465240478515625
aae_send,1469439604,0.05261993408203125
broadcast,1469439604,0.0465240478515625
aae_send,1469439605,0.07987213134765625
broadcast,1469439605,0.0465240478515625
aae_send,1469439606,0.07987213134765625
broadcast,1469439606,0.0465240478515625
aae_send,1469439607,0.07987213134765625
broadcast,1469439607,0.0465240478515625
